cohort_groupings,n_pairs,addRel_min,addRel_max,mtdna,cnu,age_k1_meanFunction,USA_flag_10_k1_meanFunction,USA_flag_10_polychorFunction_rho,USA_flag_10_polychorFunction_se,USA_flag_10_polychorFunction_chisq,USA_flag_10_polychorFunction_df,USA_flag_10_ml_polychorFunction
1718,4167,0.003515625,0.004296875,0,0,61.7582853025937,0.313040345821326,-0.126182020840463,0.0186913984751885,0.00000800479756435379,0,-0.12618674402391
1719,84288,0.003515625,0.004296875,0,0,65.4751057405397,0.285847360582885,-0.0212587220138142,0.0043069684261095,0.00000799994450062513,0,-0.0212588721958857
1818,3896747,0.003515625,0.004296875,0,0,56.0420862924071,0.233034742907723,-0.00124987866372782,0.000685016044189142,0.00000799819827079773,0,-0.00125367469637681
1819,23344349,0.003515625,0.004296875,0,0,60.3855412117884,0.286133744689181,-0.0242410129603529,0.000258866533664067,0.00000800192356109619,0,-0.0242411688190394
1919,28874050,0.003515625,0.004296875,0,0,64.7672628408842,0.344183497238329,0.00241670409558317,0.000219255014318009,0.00000798702239990234,0,0.0024202354985556
,201508,0.003515625,0.004296875,0,0,64.7238515944906,0.343335004691386,,,,,
1718,7,0.004296875,0.00703125,1,0,61.9285714285714,0.357142857142857,-0.989062046559929,3.27817998062642,0.00000611530146343853,0,-0.995349838532568
1719,58,0.004296875,0.00703125,1,0,69.1896551724138,0.28448275862069,-0.431416872726489,0.148821051328317,0.00000800169226522485,0,-0.431408441465825
1818,11271,0.004296875,0.00703125,1,0,56.0573030208658,0.238377007607777,-0.0154903737248776,0.0126579314235416,0.00000800000998424366,0,-0.0154904700790684
1819,82056,0.004296875,0.00703125,1,0,60.0288579964636,0.276924015123796,-0.0174555316716878,0.00441793111984404,0.00000799994450062513,0,-0.0174556554078763
1919,113799,0.004296875,0.00703125,1,0,64.93469863104,0.334577458906488,0.0150746795021438,0.00351920892701357,0.00000799994450062513,0,0.0150866764080009
,37,0.004296875,0.00703125,1,0,61.7837837837838,0.297297297297297,,,,,
1718,243,0.004296875,0.00703125,0,0,57.004132231405,0.12396694214876,-0.96894923526659,Inf,0.00000599999987116462,0,-0.961460465453359
1719,10420,0.004296875,0.00703125,0,0,63.8683238159221,0.220979893468976,-0.180420605332949,0.013593254341894,0.00000800010457169265,0,-0.180409037242277
1818,971842,0.004296875,0.00703125,0,0,55.9707694487013,0.236403171666011,-0.00268530539813625,0.0013643366615803,0.00000800006091594696,0,-0.00268530484133376
1819,6567794,0.004296875,0.00703125,0,0,59.6185523361192,0.277479086647416,-0.0276502059680902,0.000493629439733615,0.0000080205500125885,0,-0.0276504875868032
