cohort_groupings,n_pairs,addRel_min,addRel_max,mtdna,cnu,age_k1_meanFunction,USA_flag_10_k1_meanFunction,USA_flag_10_polychorFunction_rho,USA_flag_10_polychorFunction_se,USA_flag_10_polychorFunction_chisq,USA_flag_10_polychorFunction_df,USA_flag_10_ml_polychorFunction
1919,70007,0.1375,0.225,1,0,62.8615329666405,0.328422406401829,0.0471317444648577,0.00449819942619207,0.00000800017733126879,0,0.0471318515955713
,10,0.1375,0.225,1,0,70.5,0.3,,,,,
1818,901478,0.1375,0.225,0,0,57.1042810251259,0.233777274487654,0.0246842041578801,0.00141886460627826,0.00000800006091594696,0,0.0246841865800273
1919,126695,0.1375,0.225,0,0,63.407499526246,0.332011955573279,0.0287782718464436,0.003339041392501,0.00000799994450062513,0,0.0287901581696414
,233,0.1375,0.225,0,0,57.5665236051502,0.266094420600858,,,,,
1818,3321049,0.225,0.275,1,0,58.4337968447,0.243029280817013,0.0389954596489962,0.000729440352584965,0.00000799819827079773,0,0.0389954534328419
1919,289525,0.225,0.275,1,0,62.9726599342885,0.325156744821676,0.0530652476673473,0.00221703265585047,0.00000800122506916523,0,0.0530654160973491
,6676,0.225,0.275,1,0,62.5223970037453,0.301768055139347,,,,,
1818,4731062,0.225,0.275,0,0,59.7044974591852,0.243160650810946,0.0376280858557477,0.000616681177809174,0.00000800564885139465,0,0.0376280639626671
1919,204410,0.225,0.275,0,0,62.9518404517695,0.327230012480728,0.0494835469064657,0.00263484269234884,0.00000805186573415995,0,0.0494842123158592
,47952,0.225,0.275,0,0,63.9434757216753,0.318186559846446,,,,,
1818,92865,0.275,0.45,1,1,52.8435186435187,0.179138334242491,0.141999448043643,0.00481025211612369,0.00000834342790767551,0,0.142003125028801
1919,27159,0.275,0.45,1,1,62.1589686924494,0.307319678774037,0.135488202748493,0.00725660556517615,0.00000802188878878951,0,0.135488658107991
1818,131469,0.275,0.45,1,0,58.1072841880749,0.225138747633577,0.0939383236371438,0.00372149948771771,0.00000800134148448706,0,0.0939387382597038
1919,6476,0.275,0.45,1,0,62.3355466337245,0.331274131274131,0.0810839286565214,0.014687837516738,0.00000801090936874971,0,0.0810828400082165
,2,0.275,0.45,1,0,45,0.5,,,,,
1818,106427,0.275,0.45,0,0,59.7504046601796,0.230869135570091,0.0746692838444376,0.00411293195319916,0.00000800116686150432,0,0.0746611804517977
1919,2554,0.275,0.45,0,0,62.5522709475333,0.325371965544244,0.0974146360697156,0.0234415025539888,0.00000800443558546249,0,0.0974169453633905
,8,0.275,0.45,0,0,45.5,0,,,,,
1818,1110646,0.45,0.55,1,1,54.5775293391483,0.217011783688086,0.140916887862992,0.00128282766198562,0.000943838618695736,0,0.140878650257857
1919,557559,0.45,0.55,1,1,63.3239580259382,0.338089069581349,0.124301876209238,0.00156238688974607,0.00000800099223852158,0,0.124303406822773
1818,688449,0.45,0.55,1,0,65.5823289056726,0.261002146377082,0.149318283781354,0.0015550228870222,0.00000800564885139465,0,0.149319866206743
1919,16450,0.45,0.55,1,0,71.2920149548619,0.370865758754864,0.108392507823467,0.00891692653420889,0.00000802028807811439,0,0.108395018570026
,24542,0.45,0.55,1,0,63.9825948722129,0.346597627104823,,,,,
1818,721258,0.45,0.55,0,0,65.5010406322888,0.260356028862212,0.114587871570574,0.00155060784634972,0.0000080023892223835,0,0.114588720074762
1919,6296,0.45,0.55,0,0,68.4323723294417,0.312177297640798,0.0924690846732706,0.0151293955097913,0.00000800918496679515,0,0.0924682192304828
,20089,0.45,0.55,0,0,63.8400219079865,0.345251730491509,,,,,
1818,36247,0.55,0.9,1,1,62.5064490291933,0.210821410815887,0.9999,Inf,23244.2635183633,0,0.950188781342322
1919,8540,0.55,0.9,1,1,65.0646370023419,0.32618880299836,0.9999,Inf,6070.67872681248,0,0.957729412162096
1818,4597,0.55,0.9,1,0,61.9051611498258,0.230727351916376,0.121365460210927,0.0195727509462288,0.00000800370617071167,0,0.121367381949888
1919,42,0.55,0.9,1,0,62.8809523809524,0.285714285714286,0.305801988582693,0.176933198992357,0.00000810794998074016,0,0.305726111902475
1818,2736,0.55,0.9,0,0,61.7866032210835,0.228587115666179,0.124683454480217,0.0254347780731803,0.00000801876376499422,0,0.124687720965273
1919,8,0.55,0.9,0,0,61.0625,0.1875,-0.921566552903107,5.33563005056047,0.0000099460824714015,0,-0.982347635838105
1818,535831,0.9,1.1,1,1,59.7332165180323,0.202590031814946,0.9999,Inf,6833.16358868452,0,0.9999
1919,327830,0.9,1.1,1,1,64.3328736614089,0.339831806614223,0.9999,Inf,5431.33132920275,0,0.9999
,155268,0.9,1.1,1,1,,,,,,,
1818,274,1.1,1.5,1,1,45.5054945054945,0.135531135531136,0.9999,Inf,2.68959116487611,0,0.9999
1919,78,1.1,1.5,1,1,53.7307692307692,0.217948717948718,0.9999,Inf,1.03935369162568,0,0.9999
