n_pairs,unique_n,addRel_min,addRel_max,addRel_emp_min,addRel_emp_mean,addRel_emp_median,addRel_emp_max,mtdna,cnu,Has_Dementia_phi_both,Has_Dementia_phi_none,Has_Dementia_phi_one,Has_Dementia_phi_est,Has_Dementia_phi_se,Has_Dementia_phi_LL,Has_Dementia_phi_UL,AZ_Broadest_phi_both,AZ_Broadest_phi_none,AZ_Broadest_phi_one,AZ_Broadest_phi_est,AZ_Broadest_phi_se,AZ_Broadest_phi_LL,AZ_Broadest_phi_UL,AZ_Broad_phi_both,AZ_Broad_phi_none,AZ_Broad_phi_one,AZ_Broad_phi_est,AZ_Broad_phi_se,AZ_Broad_phi_LL,AZ_Broad_phi_UL,AZ_MoreForgiving_phi_both,AZ_MoreForgiving_phi_none,AZ_MoreForgiving_phi_one,AZ_MoreForgiving_phi_est,AZ_MoreForgiving_phi_se,AZ_MoreForgiving_phi_LL,AZ_MoreForgiving_phi_UL,AZ_Moststrict_phi_both,AZ_Moststrict_phi_none,AZ_Moststrict_phi_one,AZ_Moststrict_phi_est,AZ_Moststrict_phi_se,AZ_Moststrict_phi_LL,AZ_Moststrict_phi_UL
7978,9997,0.225,0.275,0.2265625,0.245845508742793,0.25,0.265625,0,0,1122,7694,7140,-0.345524212811076,0.00545975498025971,-0.356179871566917,-0.334778701429516,1122,7694,7140,-0.345524212811076,0.00545975498025971,-0.356179871566917,-0.334778701429516,1022,8032,6902,-0.333191602532888,0.0054293043818308,-0.343790067059841,-0.32250826288632,202,12274,3480,-0.166034791988198,0.00478844332690493,-0.175404662862394,-0.156634844517546,36,14304,1616,-0.0797157701339628,0.00413779782392727,-0.0878202519134494,-0.0716007357798972
142391,121170,0.275,0.45,0.4375,0.438721191780028,0.4375,0.44921875,1,1,50744,115872,118166,-0.204480571332795,0.00151843823903926,-0.20745475710488,-0.201502605321485,50744,115872,118166,-0.204480571332795,0.00151843823903926,-0.20745475710488,-0.201502605321485,47102,121230,116450,-0.201950430664756,0.00151542891928013,-0.204918751089198,-0.19897839554608,11410,202342,71030,-0.121425409816879,0.00145341052554619,-0.124273034443912,-0.118575785047246,2752,245068,36962,-0.0617615171966423,0.00141235507854114,-0.0645292001686385,-0.0589928840805368
51707,82800,0.275,0.45,0.28125,0.436959998162725,0.4375,0.4453125,1,0,9334,49362,44718,-0.302633315499663,0.00227311792127603,-0.307081906324816,-0.298171499620299,9334,49362,44718,-0.302633315499663,0.00227311792127603,-0.307081906324816,-0.298171499620299,8570,51294,43550,-0.294746823907598,0.0022612137919448,-0.299172355719887,-0.290308611993911,1574,79766,22074,-0.150192227559588,0.0020079439047609,-0.154125325610237,-0.146254369792002,270,92858,10286,-0.0741467863850499,0.00173984213923645,-0.0775559342130819,-0.070735904637028
28162,48092,0.275,0.45,0.28125,0.437649802925929,0.4375,0.4453125,0,0,3074,31804,21446,-0.277374736729239,0.00293080777803427,-0.283109042300014,-0.271620600991542,3074,31804,21446,-0.277374736729239,0.00293080777803427,-0.283109042300014,-0.271620600991542,2716,32900,20708,-0.270336175458683,0.00289156291024463,-0.275994112182121,-0.264659504131314,476,45834,10014,-0.133931572951177,0.00249519257219984,-0.138818760598063,-0.129037861945827,58,52274,3992,-0.0566277202687587,0.0020786606476025,-0.0607008548695694,-0.0525526997946121
47882,48744,0.45,0.55,0.453125,0.4715538491761,0.46875,0.546875,1,1,17506,39950,38308,-0.175860154484057,0.0026522614665697,-0.181053542412929,-0.17065695897723,17506,39950,38308,-0.175860154484057,0.0026522614665697,-0.181053542412929,-0.17065695897723,16276,41864,37624,-0.17136270274469,0.00265086822673741,-0.176553498065663,-0.166162376061781,3950,68138,23676,-0.114887920731515,0.002533747623661,-0.11985106337592,-0.109919035724794,950,82596,12218,-0.0567182332122999,0.00248665375001951,-0.0615905949598868,-0.0518431683033195
13414,22636,0.45,0.55,0.453125,0.481233459445356,0.484375,0.53125,1,0,2272,12002,12554,-0.357995315019486,0.00428407360772552,-0.366362836495099,-0.34956989612433,2272,12002,12554,-0.357995315019486,0.00428407360772552,-0.366362836495099,-0.34956989612433,2008,12646,12174,-0.348903610721493,0.00423817892356001,-0.357182721299622,-0.340569679662316,402,20302,6124,-0.170141711910458,0.00379666035198845,-0.177573194664656,-0.162690825578764,94,23890,2844,-0.0743868328793826,0.00365721337968097,-0.0815508741621714,-0.0672151052895754
7411,13179,0.45,0.55,0.453125,0.481754317905816,0.484375,0.5,0,0,698,7664,6460,-0.359864241588631,0.00528019353096047,-0.370168660109475,-0.349471278088637,698,7664,6460,-0.359864241588631,0.00528019353096047,-0.370168660109475,-0.349471278088637,598,8060,6164,-0.344916706840216,0.00519408038794276,-0.355056056057446,-0.334696217796872,106,11778,2938,-0.164824041269856,0.00438064168090091,-0.173397247310254,-0.156225856965231,22,13590,1210,-0.0638996138996139,0.00423559046839029,-0.0721966071599842,-0.055593777442916
6,9,0.55,0.9,0.5546875,0.602864583333333,0.625,0.625,1,1,2,6,4,-0.0666666666666667,0.246976782034663,-0.502759519178707,0.396476179350769,2,6,4,-0.0666666666666667,0.246976782034663,-0.502759519178707,0.396476179350769,2,6,4,-0.0666666666666667,0.246976782034663,-0.502759519178707,0.396476179350769,0,8,4,-0.333333333333333,0.111111111111111,-0.531023174126147,-0.101230163525389,0,8,4,-0.333333333333333,0.111111111111111,-0.531023174126147,-0.101230163525389
1,2,0.55,0.9,0.5625,0.5625,0.5625,0.5625,1,0,0,2,0,,,,,0,2,0,,,,,0,2,0,,,,,0,2,0,,,,,0,2,0,,,,
282055,282028,0.9,1.1,0.9375,0.95313322645406,0.9375,1.0625,1,1,183228,380882,0,1,0,,,183228,380882,0,1,0,,,174706,389404,0,1,0,,,74960,489150,0,1,0,,,32466,531644,0,1,0,,
6,6,1.1,1.5,1.125,1.12630208333333,1.125,1.1328125,1,1,2,10,0,1,0,,,2,10,0,1,0,,,2,10,0,1,0,,,2,10,0,1,0,,,2,10,0,1,0,,
